zip,city,state,county,latitude,longitude,timezone,dst
501,Holtsville,NY,Suffolk,40.922326,-72.637078,-5,1
544,Holtsville,NY,Suffolk,40.922326,-72.637078,-5,1
601,Adjuntas,PR,Adjuntas,18.180103,-66.74947,-4,0
602,Aguada,PR,Aguada,18.363285,-67.18024,-4,0
603,Aguadilla,PR,Aguadilla,18.448619,-67.13422,-4,0
604,Aguadilla,PR,Aguadilla,18.498987,-67.13699,-4,0
605,Aguadilla,PR,Aguadilla,18.465162,-67.141486,-4,0
606,Maricao,PR,Maricao,18.182151,-66.9588,-4,0
610,Anasco,PR,Anasco,18.288319,-67.13604,-4,0
611,Angeles,PR,Utuado,18.279531,-66.80217,-4,0
612,Arecibo,PR,Arecibo,18.449732,-66.69879,-4,0
613,Arecibo,PR,Arecibo,18.458093,-66.732732,-4,0
614,Arecibo,PR,Arecibo,18.429675,-66.674506,-4,0
616,Bajadero,PR,Arecibo,18.426748,-66.67669,-4,0
617,Barceloneta,PR,Barceloneta,18.455499,-66.55575,-4,0
622,Boqueron,PR,Cabo Rojo,18.003125,-67.16745,-4,0
623,Cabo Rojo,PR,Cabo Rojo,18.08643,-67.15222,-4,0
624,Penuelas,PR,Penuelas,18.055399,-66.72602,-4,0
627,Camuy,PR,Camuy,18.435246,-66.85644,-4,0
631,Castaner,PR,Lares,18.186739,-66.85174,-4,0
636,Rosario,PR,San German,18.113284,-67.039706,-4,0
637,Sabana Grande,PR,Sabana Grande,18.073078,-66.94864,-4,0
638,Ciales,PR,Ciales,18.308139,-66.49835,-4,0
641,Utuado,PR,Utuado,18.268896,-66.70519,-4,0
646,Dorado,PR,Dorado,18.442798,-66.27689,-4,0
647,Ensenada,PR,Guanica,17.964529,-66.93993,-4,0
650,Florida,PR,Florida,18.363331,-66.56773,-4,0
652,Garrochales,PR,Arecibo,18.457453,-66.61217,-4,0
653,Guanica,PR,Guanica,17.992112,-66.90097,-4,0
656,Guayanilla,PR,Guayanilla,18.038866,-66.79168,-4,0
659,Hatillo,PR,Hatillo,18.432956,-66.80039,-4,0
660,Hormigueros,PR,Hormigueros,18.139108,-67.12085,-4,0
662,Isabela,PR,Isabela,18.478855,-67.01973,-4,0
